City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,leningradskiy,69.3833,178.4167,-30.51,94,11,1.29,RU,Mon Mar  6 17:30:38 2023
211,palana,59.1167,159.9667,-12.26,93,100,1.22,RU,Mon Mar  6 17:33:55 2023
212,fos-sur-mer,43.4377,4.9446,6.95,81,0,3.09,FR,Mon Mar  6 17:33:56 2023
213,laem sing,12.4816,102.0738,22.79,78,0,1.96,TH,Mon Mar  6 17:33:56 2023
214,knysna,-34.0363,23.0471,17.34,91,75,2.2,ZA,Mon Mar  6 17:33:56 2023
215,dzilam gonzalez,21.2833,-88.9333,28.01,56,42,5.68,MX,Mon Mar  6 17:33:57 2023
216,vardo,70.3705,31.1107,-10.01,73,75,8.23,NO,Mon Mar  6 17:33:57 2023
217,berdigestyakh,62.0989,126.6992,-19.26,100,100,1.11,RU,Mon Mar  6 17:33:57 2023
218,fairbanks,64.8378,-147.7164,-1.21,67,100,0.0,US,Mon Mar  6 17:33:35 2023
219,kailua,21.4022,-157.7394,26.61,83,75,5.14,US,Mon Mar  6 17:33:58 2023
220,petropavlovsk-kamchatskiy,53.0452,158.6483,-8.67,86,75,3.0,RU,Mon Mar  6 17:33:58 2023
221,loudi,27.7344,111.9944,18.37,58,95,0.21,CN,Mon Mar  6 17:33:59 2023
222,tres arroyos,-38.3739,-60.2798,33.52,20,88,3.83,AR,Mon Mar  6 17:33:59 2023
223,buin,-33.7333,-70.75,27.18,40,0,2.99,CL,Mon Mar  6 17:33:59 2023
224,oranjemund,-28.55,16.4333,16.62,91,59,3.45,NA,Mon Mar  6 17:34:00 2023
225,kutum,14.2,24.6667,22.36,16,32,4.71,SD,Mon Mar  6 17:34:00 2023
226,katsuura,35.1333,140.3,11.83,68,0,0.58,JP,Mon Mar  6 17:34:00 2023
227,esperance,-33.8667,121.9,15.98,58,47,3.04,AU,Mon Mar  6 17:34:01 2023
228,beringovskiy,63.05,179.3167,-21.31,74,18,2.34,RU,Mon Mar  6 17:34:01 2023
229,taltal,-25.4,-70.4833,22.12,77,8,2.71,CL,Mon Mar  6 17:30:22 2023
230,hovd,48.0056,91.6419,-1.44,30,75,2.93,MN,Mon Mar  6 17:34:02 2023
231,roebourne,-20.7833,117.1333,29.01,75,5,2.3,AU,Mon Mar  6 17:31:17 2023
232,druzhba,52.0428,33.9453,-4.04,77,21,3.57,UA,Mon Mar  6 17:33:14 2023
233,marawi,7.9986,124.2928,19.99,95,67,0.81,PH,Mon Mar  6 17:34:02 2023
234,tuktoyaktuk,69.4541,-133.0374,-29.0,69,20,4.12,CA,Mon Mar  6 17:34:03 2023
235,semey,50.4111,80.2275,-1.87,89,96,2.88,KZ,Mon Mar  6 17:34:03 2023
236,yerbogachen,61.2767,108.0108,-31.46,100,100,1.44,RU,Mon Mar  6 17:34:04 2023
237,bartlesville,36.7473,-95.9808,20.97,42,0,4.63,US,Mon Mar  6 17:34:04 2023
238,pevek,69.7008,170.3133,-33.14,94,26,1.03,RU,Mon Mar  6 17:34:05 2023
239,aquiraz,-3.9014,-38.3911,28.43,85,99,6.19,BR,Mon Mar  6 17:32:50 2023
240,kabinda,-6.1333,24.4833,20.1,92,100,1.45,CD,Mon Mar  6 17:34:06 2023
241,bathsheba,13.2167,-59.5167,26.34,73,40,5.66,BB,Mon Mar  6 17:34:07 2023
242,amboasary,-25.0333,46.3833,22.42,96,98,3.44,MG,Mon Mar  6 17:34:07 2023
243,saint-philippe,-21.3585,55.7679,25.77,86,92,4.45,RE,Mon Mar  6 17:34:08 2023
244,marshall,34.3834,-86.3333,25.86,32,0,5.66,US,Mon Mar  6 17:31:13 2023
